ID,EMP_CODE,LAST_NAME,FIRST_NAME,MIDDLE_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,Created_On,Modified_On
1,EMP01,Anderson,Slade,Jakeem,923.0,1989-09-30,Female,2016-07-19,2024-09-05 15:23:53.090,
5,EMP05,Bender,Zenia,Daquan,939.0,1978-01-09,Male,1988-04-10,2024-09-05 15:23:53.090,
10,EMP010,Lang,Rahim,Brynne,989.0,1979-07-16,Female,2016-01-02,2024-09-05 15:23:53.090,
14,EMP014,Buckner,Caesar,Carl,959.0,1975-01-27,Male,2006-05-24,2024-09-05 15:23:53.090,
18,EMP018,Weaver,Regina,Kessie,965.0,1978-05-02,Female,2003-03-12,2024-09-05 15:23:53.090,
31,EMP031,Lindsey,Fatima,Fletcher,920.0,1989-07-01,Female,2020-11-05,2024-09-05 15:23:53.090,
32,EMP032,Rivera,Hamilton,Kellie,978.0,1987-02-19,Male,2014-06-11,2024-09-05 15:23:53.090,
33,EMP033,Moody,Lacy,Amelia,994.0,1985-03-14,Female,1992-01-31,2024-09-05 15:23:53.090,
35,EMP035,Mcgee,Halla,Dora,916.0,1977-11-21,Female,2004-06-12,2024-09-05 15:23:53.090,
48,EMP048,Soto,Danielle,Callie,977.0,1974-05-05,Female,2002-06-11,2024-09-05 15:23:53.090,
56,EMP056,Hunt,Kibo,Brett,997.0,1986-06-01,Female,1989-04-04,2024-09-05 15:23:53.130,
61,EMP061,Castillo,Micah,Byron,987.0,1983-07-15,Male,2017-01-14,2024-09-05 15:23:53.157,
73,EMP073,Kramer,Judah,Melyssa,974.0,1982-03-18,Male,1993-03-04,2024-09-05 15:23:53.160,
88,EMP088,Winters,Darius,Zeus,957.0,1975-09-10,Male,2003-08-01,2024-09-05 15:23:53.160,
99,EMP099,Carr,Wynter,Savannah,984.0,1983-01-12,Female,2006-02-05,2024-09-05 15:23:53.160,
