ID,EMP_CODE,LAST_NAME,FIRST_NAME,MIDDLE_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,Created_On,Modified_On
6,E06,Stokes,Sharon,Jacob,951.0,1977-09-14,M,2009-03-09,2024-09-05 15:23:53.163,
15,E015,Rios,Rogan,Quinn,999.0,1978-11-13,M,2016-03-25,2024-09-05 15:23:53.167,
18,E018,Pruitt,Nichole,Melodie,945.0,1974-12-31,F,1999-06-11,2024-09-05 15:23:53.167,
21,E021,Francis,Susan,Adrienne,917.0,1975-06-26,M,2015-04-06,2024-09-05 15:23:53.167,
26,E026,Baker,April,Willow,931.0,1989-06-15,M,1989-01-29,2024-09-05 15:23:53.167,
29,E029,Booth,Amethyst,Kirk,910.0,1978-09-26,M,2000-09-16,2024-09-05 15:23:53.167,
33,E033,Cummings,Avye,Elijah,946.0,1987-07-15,F,2014-10-06,2024-09-05 15:23:53.170,
38,E038,Hays,Freya,Mari,970.0,1982-02-02,F,2011-01-27,2024-09-05 15:23:53.170,
48,E048,Olson,Martena,Beck,919.0,1977-10-09,M,2010-04-22,2024-09-05 15:23:53.170,
50,E050,Peck,Chloe,Oleg,982.0,1987-12-04,F,2018-12-04,2024-09-05 15:23:53.170,
51,E051,Armstrong,Hunter,Lareina,961.0,1975-03-25,M,2015-05-25,2024-09-05 15:23:53.170,
67,E067,Zamora,Kay,Unity,924.0,1989-12-04,M,2009-07-26,2024-09-05 15:23:53.173,
72,E072,Nunez,Belle,Richard,972.0,1987-08-02,F,2017-11-29,2024-09-05 15:23:53.173,
76,E076,Mcgowan,Dana,Ramona,909.0,1977-04-26,F,2017-03-10,2024-09-05 15:23:53.173,
85,E085,Suarez,Uriel,Ray,942.0,1979-08-19,F,1999-09-09,2024-09-05 15:23:53.173,
97,E097,Nolan,Leroy,Steven,983.0,1984-12-31,M,1994-11-21,2024-09-05 15:23:53.177,
100,E0100,Wolfe,Sara,Brett,978.0,1976-12-01,M,2006-09-08,2024-09-05 15:23:53.177,
